Realisation number,Time,x
1.0,3.94,0.8874634657750168
1.0,3.95,0.8951761844502589
1.0,3.96,0.9199603621373966
1.0,3.97,0.9086350887817288
1.0,3.98,0.9125169444584598
1.0,3.99,0.908747413033408
1.0,4.0,0.9007431105598621
1.0,4.01,0.9045224852624578
1.0,4.0200000000000005,0.9157791509372407
1.0,4.03,0.9241808620479516
1.0,4.04,0.909770182661242
1.0,4.05,0.8865664310511059
1.0,4.0600000000000005,0.8724903041740486
1.0,4.07,0.8617647957795299
1.0,4.08,0.8682760941691209
1.0,4.09,0.8585244539451212
1.0,4.1,0.8634470050151755
1.0,4.11,0.8743450522011534
1.0,4.12,0.8609412260782404
1.0,4.13,0.8570597724624508
1.0,4.14,0.8600227516778142
1.0,4.15,0.851716393176761
1.0,4.16,0.8489604112762067
1.0,4.17,0.8454480597976635
1.0,4.18,0.8385293111399377
1.0,4.19,0.8395965223254206
1.0,4.2,0.859182658119848
1.0,4.21,0.8495869062621272
1.0,4.22,0.8488595044469706
1.0,4.23,0.8556128377791213
1.0,4.24,0.854683993804296
1.0,4.25,0.8501805477241855
1.0,4.26,0.8433371292366638
1.0,4.2700000000000005,0.8309313836404508
1.0,4.28,0.8353510794750163
1.0,4.29,0.837230753020511
1.0,4.3,0.8459098636292789
1.0,4.3100000000000005,0.8348563841143921
1.0,4.32,0.8108208721801251
1.0,4.33,0.7980140222802209
1.0,4.34,0.8055535661139831
1.0,4.3500000000000005,0.8246599615479578
1.0,4.36,0.8140029513806565
1.0,4.37,0.8257372003193266
1.0,4.38,0.8295589161962316
1.0,4.39,0.8191742607662492
1.0,4.4,0.8199915010003865
1.0,4.41,0.8225058753093605
1.0,4.42,0.8242369615833811
1.0,4.43,0.8334347055610123
1.0,4.44,0.8345568340135283
1.0,4.45,0.8215068340342492
1.0,4.46,0.8242596968988989
1.0,4.47,0.8388604080431693
1.0,4.48,0.8331221400386397
1.0,4.49,0.8277296578983242
1.0,4.5,0.8198262376728178
1.0,4.51,0.8257254845214302
1.0,4.5200000000000005,0.815863950096509
1.0,4.53,0.8110710790925848
1.0,4.54,0.8110586096105642
1.0,4.55,0.801169238336446
1.0,4.5600000000000005,0.8164404997619196
1.0,4.57,0.8240150558814573
1.0,4.58,0.8293635993641473
1.0,4.59,0.8343705193741497
1.0,4.6000000000000005,0.8348846171020449
1.0,4.61,0.8356042096479716
1.0,4.62,0.849636161912724
1.0,4.63,0.8558155737141225
1.0,4.64,0.8489169376169193
1.0,4.65,0.8363248042939673
1.0,4.66,0.8407065817812119
1.0,4.67,0.8383343519087648
1.0,4.68,0.8338154085848891
1.0,4.69,0.8531158383563477
1.0,4.7,0.8510046520324943
1.0,4.71,0.8593574546651885
1.0,4.72,0.8777947923695822
1.0,4.73,0.8836847238975697
1.0,4.74,0.8860178220953036
1.0,4.75,0.8801199520202985
1.0,4.76,0.8803818383870962
1.0,4.7700000000000005,0.8791442746158918
1.0,4.78,0.874789312218557
1.0,4.79,0.8646691900216738
1.0,4.8,0.8662579284400286
1.0,4.8100000000000005,0.8471365473739894
1.0,4.82,0.8465720123360427
1.0,4.83,0.8372475064775039
1.0,4.84,0.8361430535061198
1.0,4.8500000000000005,0.8231825989027458
1.0,4.86,0.8140809170793983
1.0,4.87,0.8170093006425024
1.0,4.88,0.8363598255656699
1.0,4.89,0.8447654087436904
1.0,4.9,0.8367094622567209
1.0,4.91,0.8293865830497746
1.0,4.92,0.8066184916114891
1.0,4.93,0.7909567505689976
1.0,4.94,0.7975648780068133
1.0,4.95,0.8096240449413168
1.0,4.96,0.8059315194193428
1.0,4.97,0.8021340860963749
1.0,4.98,0.8027167649739696
1.0,4.99,0.8022554602604878
1.0,5.0,0.8026396077268595
1.0,5.01,0.7902904088748979
1.0,5.0200000000000005,0.7937327970930268
1.0,5.03,0.7915563443016699
1.0,5.04,0.7893420985204053
1.0,5.05,0.8020568908001912
1.0,5.0600000000000005,0.8138879431884528
1.0,5.07,0.8087103117557646
1.0,5.08,0.8101535589969892
1.0,5.09,0.8043502353784078
1.0,5.1000000000000005,0.793113683850769
1.0,5.11,0.7945238221764769
1.0,5.12,0.7973626942485635
1.0,5.13,0.7806876246171545
1.0,5.14,0.7856325884762467
1.0,5.15,0.8056059754481255
1.0,5.16,0.8060879375325629
1.0,5.17,0.817726865430849
1.0,5.18,0.8194431911014345
1.0,5.19,0.8203558567181898
1.0,5.2,0.8135022142185402
1.0,5.21,0.8129872328492833
1.0,5.22,0.8132993598617896
1.0,5.23,0.806446267812714
1.0,5.24,0.7946693146100559
1.0,5.25,0.799735777788684
1.0,5.26,0.7941808294808059
1.0,5.2700000000000005,0.7965561323663954
1.0,5.28,0.7976170424749168
1.0,5.29,0.7981365604350905
1.0,5.3,0.8071480051919009
1.0,5.3100000000000005,0.8122230131459985
1.0,5.32,0.8061076584892836
1.0,5.33,0.8103978043137334
1.0,5.34,0.8172795690543476
1.0,5.3500000000000005,0.8083655476278996
1.0,5.36,0.8077314677394977
1.0,5.37,0.8034386398311701
1.0,5.38,0.8027293819974018
1.0,5.39,0.8002770132144147
1.0,5.4,0.8045017893930049
1.0,5.41,0.8175041155524695
1.0,5.42,0.8236125387735638
1.0,5.43,0.8308402953083173
1.0,5.44,0.8320905140074943
1.0,5.45,0.8292043967826578
1.0,5.46,0.8259736079901777
1.0,5.47,0.8369475626486271
1.0,5.48,0.8378330691648257
1.0,5.49,0.830211622014165
1.0,5.5,0.8210769309540018
1.0,5.51,0.8078440367771224
1.0,5.5200000000000005,0.7890356600039772
1.0,5.53,0.7842399844770191
1.0,5.54,0.7906634841250403
1.0,5.55,0.7851372176592423
1.0,5.5600000000000005,0.7756264118351593
1.0,5.57,0.7631752565921045
1.0,5.58,0.7573672280949063
1.0,5.59,0.7568626695911856
1.0,5.6000000000000005,0.7760287275105127
1.0,5.61,0.7855081073875725
1.0,5.62,0.7823842435101716
1.0,5.63,0.7665770307234255
1.0,5.64,0.7804528543980443
1.0,5.65,0.7630053121303652
1.0,5.66,0.761625428249518
1.0,5.67,0.764093249754969
1.0,5.68,0.7646968604360657
1.0,5.69,0.7653194349509012
1.0,5.7,0.7675771643550525
1.0,5.71,0.7726344507410713
1.0,5.72,0.7676772630574563
1.0,5.73,0.7627664025764517
1.0,5.74,0.7717838280521097
1.0,5.75,0.777388635092845
1.0,5.76,0.7809956334029682
1.0,5.7700000000000005,0.7875302050577585
1.0,5.78,0.7830190912917477
1.0,5.79,0.7787513779227972
1.0,5.8,0.7641500199568663
1.0,5.8100000000000005,0.7855902873915824
1.0,5.82,0.7884090199432406
1.0,5.83,0.7735681719686992
1.0,5.84,0.775487110405668
1.0,5.8500000000000005,0.7644476114636144
1.0,5.86,0.7541001594179255
1.0,5.87,0.7615876210725505
1.0,5.88,0.7682818595766804
1.0,5.89,0.7703336484232017
1.0,5.9,0.7873578922331671
1.0,5.91,0.7902727604580817
1.0,5.92,0.7843121194865768
1.0,5.93,0.7725389175818419
1.0,5.94,0.7673119224448876
1.0,5.95,0.7611182683202757
1.0,5.96,0.7620942318070233
1.0,5.97,0.7647013777903847
1.0,5.98,0.7584827161255586
1.0,5.99,0.7635956590038424
1.0,6.0,0.7703418145689098
1.0,6.01,0.7643271680469981
1.0,6.0200000000000005,0.766891720799258
1.0,6.03,0.7675401065492158
1.0,6.04,0.7543433894012129
1.0,6.05,0.7584542151707501
1.0,6.0600000000000005,0.7484606202082558
1.0,6.07,0.7446509228774355
1.0,6.08,0.7403799386713139
1.0,6.09,0.7536916212500376
